10000
101,175
253,495
894,533
252,489
727,452
185,928
631,206
566,458
920,401
407,310
570,802
352,728
375,647
992,931
350,672
756,564
763,211
539,823
541,497
76,106
519,316
961,743
507,239
314,89
799,202
366,662
956,524
891,304
115,396
239,59
474,402
739,44
333,678
816,515
729,989
69,716
428,846
83,62
455,728
875,3
674,641
676,604
439,339
660,665
657,830
326,494
271,452
224,586
961,151
698,264
176,439
850,413
142,312
414,600
777,861
983,522
20,328
486,621
819,261
76,47
753,248
782,954
620,375
692,946
415,410
241,414
421,749
592,475
871,142
20,944
78,440
331,604
809,252
108,934
95,224
414,453
8,791
169,582
380,105
384,770
805,446
566,33
239,387
99,878
471,890
613,342
741,848
73,407
937,905
3,398
778,332
400,12
147,602
592,669
651,37
127,79
881,416
612,302
228,314
878,923
508,303
43,942
553,792
284,380
611,677
632,566
837,598
871,743
281,221
763,38
973,349
788,469
161,796
390,35
64,134
328,427
174,808
381,140
905,347
177,784
11,166
153,471
785,6
291,780
887,877
832,773
809,742
360,416
232,869
441,849
694,354
440,128
396,973
268,706
26,724
961,499
225,781
750,225
995,272
848,440
320,827
394,778
301,823
308,919
968,789
803,616
468,446
287,767
674,783
780,331
6,397
359,657
970,835
882,489
580,924
722,902
150,134
232,103
142,371
768,939
631,958
329,448
915,748
323,12
112,1
532,43
606,135
266,988
259,529
649,312
433,112
718,798
315,591
257,716
505,305
270,839
201,9
589,295
226,954
639,260
303,567
945,380
431,275
235,908
818,939
439,748
781,663
130,927
279,644
107,29
750,556
498,636
796,926
464,780
978,164
518,627
557,69
745,157
897,45
460,31
392,135
806,956
504,251
397,923
693,666
778,293
844,22
344,542
249,212
188,30
796,48
590,43
422,993
644,25
310,73
183,851
19,30
438,238
717,28
185,533
123,924
715,884
266,169
463,754
105,67
577,220
243,866
914,264
864,467
56,974
186,293
705,296
147,160
770,691
254,865
175,78
488,652
220,854
230,804
858,543
946,147
760,980
213,861
133,708
365,882
499,32
519,673
882,214
804,479
349,993
641,168
649,699
444,611
204,570
170,849
594,928
745,375
268,681
881,687
123,505
595,872
300,542
269,236
454,554
193,61
151,223
795,915
746,19
376,565
916,246
586,13
607,827
593,888
943,798
74,216
696,289
603,222
267,645
337,889
125,159
830,557
927,466
529,951
661,600
765,456
839,162
180,607
882,300
264,653
565,160
727,826
249,59
867,777
434,102
940,677
780,812
347,141
469,37
799,207
646,688
302,649
213,181
233,437
30,232
537,958
627,853
319,976
278,992
323,468
692,691
538,406
60,6
479,105
175,107
393,111
562,351
454,789
861,317
841,382
215,87
531,63
905,56
763,345
437,941
404,560
421,463
417,167
354,252
280,436
9,946
404,828
344,38
16,61
696,308
3,238
141,877
865,950
158,247
724,852
436,657
705,495
413,150
228,877
203,997
483,940
709,484
929,482
270,701
845,828
782,370
92,757
432,333
328,627
155,974
550,592
222,901
20,221
269,627
924,778
555,440
458,968
2,645
363,701
137,868
323,468
607,478
433,734
149,628
608,813
307,303
867,345
600,660
55,363
842,893
674,438
322,923
569,79
489,750
822,660
47,476
203,365
995,952
699,599
213,900
151,371
584,316
955,571
488,147
859,292
285,915
302,186
369,724
259,807
535,611
625,283
456,276
903,7
335,561
931,410
18,640
225,534
285,508
245,513
204,296
151,115
135,118
589,238
343,26
671,280
313,51
770,365
599,804
627,247
981,660
959,899
535,743
206,891
532,174
256,386
126,475
12,334
181,953
828,727
470,574
576,431
944,94
501,586
230,924
483,197
322,789
651,805
573,380
109,858
720,922
908,816
358,928
195,280
366,478
554,174
954,409
252,760
329,430
1,738
647,643
67,627
163,605
547,30
666,556
849,801
777,908
469,977
978,243
437,671
117,608
542,242
602,576
635,900
625,71
553,148
296,290
694,499
47,393
34,257
558,442
414,471
897,976
599,367
147,649
465,904
148,700
611,487
746,425
54,854
288,798
971,113
439,534
978,952
119,595
461,14
481,743
634,189
694,256
512,389
778,598
407,841
294,966
633,486
244,939
125,982
555,299
226,737
375,675
535,495
288,587
705,725
580,167
476,236
507,526
617,717
516,230
807,176
50,684
611,415
49,937
71,787
584,593
651,411
121,599
463,563
489,997
17,40
39,679
105,604
57,156
536,981
486,470
45,192
487,745
987,711
772,406
51,157
452,993
486,257
939,259
186,471
916,357
645,748
402,307
194,141
134,599
917,865
186,743
389,257
857,963
2,446
314,928
122,93
492,973
594,31
970,563
284,990
91,138
630,819
94,663
4,67
627,986
635,642
410,834
313,435
75,415
872,394
61,335
250,573
862,237
290,457
0,360
996,471
43,234
439,357
268,561
396,507
488,834
558,146
122,121
242,828
162,28
487,606
983,976
406,884
152,548
71,109
72,289
788,424
789,329
264,951
999,23
855,172
896,644
957,751
913,513
290,335
56,86
770,415
384,521
472,31
395,362
512,474
203,479
105,985
950,102
683,205
982,290
545,200
195,855
590,629
799,376
837,174
325,264
496,554
552,960
712,559
841,240
874,132
134,513
522,106
810,953
174,422
846,373
512,616
232,86
397,228
185,699
201,165
285,414
490,551
220,628
709,344
572,538
645,164
977,375
657,884
675,496
702,437
240,540
909,348
919,728
299,509
737,772
691,529
630,229
347,485
408,644
714,70
634,792
533,503
366,373
3,627
304,607
257,594
62,38
506,669
343,58
907,926
277,886
883,932
141,237
489,86
845,525
148,830
980,132
741,210
744,616
248,899
674,872
916,133
354,865
773,605
431,251
618,23
812,948
603,643
569,250
759,763
938,719
